company_name,product_name,cash_payment,max_installments,min_price_installments,cash_payment_credit_card
Growth Supplements,camiseta growth motivation no risk,58.5,6,10.83,65.0
Growth Supplements,camiseta growth motivation without sweat,72.0,6,13.33,80.0
Growth Supplements,camiseta team growth club,58.5,6,10.83,65.0
Growth Supplements,camiseta team growth,72.0,6,13.33,80.0
Growth Supplements,camiseta team growth lifestyle,72.0,6,13.33,80.0
Growth Supplements,camiseta team growth lets go,72.0,6,13.33,80.0
Growth Supplements,camiseta growth athletics preta,58.5,6,10.83,65.0
Growth Supplements,regata growth athletics off white,49.5,6,9.17,55.0
Growth Supplements,moletom branco premium can t stop,180.0,6,33.33,200.0
Growth Supplements,pulseira somos todos atletas somos todos growth,9.45,2,5.25,10.5
Growth Supplements,calça jogger growth sacrifice to win,117.0,6,21.67,130.0
Growth Supplements,calça jogger growth you vs you,117.0,6,21.67,130.0
Growth Supplements,cinturão branco growth g red,162.0,6,30.0,180.0
Growth Supplements,regata basquete cinza claro team growth - edição especial,89.1,6,16.5,99.0
Growth Supplements,cinturão branco growth manuscrito,162.0,6,30.0,180.0
Growth Supplements,bermuda verde musgo military growth - edição limitada,90.0,6,16.67,100.0
Growth Supplements,cinturão growth g red,162.0,6,30.0,180.0
Growth Supplements,boné branco growth área 51,63.0,6,11.67,70.0
Growth Supplements,boné marrom growth life style,63.0,6,11.67,70.0
Growth Supplements,boné preto military growth,63.0,6,11.67,70.0
Growth Supplements,boné camuflado growth desde 09,63.0,6,11.67,70.0
Growth Supplements,boné preto growth hard work,63.0,6,11.67,70.0
Growth Supplements,boné cinza growth bodybuilding,63.0,6,11.67,70.0
Growth Supplements,boné bege growth sports,63.0,6,11.67,70.0
Growth Supplements,boné preto growth sports,63.0,6,11.67,70.0
Growth Supplements,boné preto no days off,63.0,6,11.67,70.0
Growth Supplements,boné verde água growth manuscrito,63.0,6,11.67,70.0
Growth Supplements,meia premium cano alto growth vertical,25.2,5,5.6,28.0
Growth Supplements,meia premium cano alto team growth,25.2,5,5.6,28.0
Growth Supplements,moletom preto premium can t stop,180.0,6,33.33,200.0
Growth Supplements,cueca boxer cinza growth premium,36.0,6,6.67,40.0
Growth Supplements,cueca boxer cinza growth premium,36.0,6,6.67,40.0
Growth Supplements,cueca boxer branca growth premium,36.0,6,6.67,40.0
Growth Supplements,cueca boxer branca growth premium,36.0,6,6.67,40.0
